name,rotation_period,orbital_period,diameter,climate,gravity,terrain,surface_water,population,residents,films,created,edited,url
Tatooine,23,304,10465,arid,1 standard,desert,1,200000,"['https://swapi.dev/api/people/1/', 'https://swapi.dev/api/people/2/', 'https://swapi.dev/api/people/4/', 'https://swapi.dev/api/people/6/', 'https://swapi.dev/api/people/7/', 'https://swapi.dev/api/people/8/', 'https://swapi.dev/api/people/9/', 'https://swapi.dev/api/people/11/', 'https://swapi.dev/api/people/43/', 'https://swapi.dev/api/people/62/']","['https://swapi.dev/api/films/1/', 'https://swapi.dev/api/films/3/', 'https://swapi.dev/api/films/4/', 'https://swapi.dev/api/films/5/', 'https://swapi.dev/api/films/6/']",2014-12-09T13:50:49.641000Z,2014-12-20T20:58:18.411000Z,https://swapi.dev/api/planets/1/
Alderaan,24,364,12500,temperate,1 standard,"grasslands, mountains",40,2000000000,"['https://swapi.dev/api/people/5/', 'https://swapi.dev/api/people/68/', 'https://swapi.dev/api/people/81/']","['https://swapi.dev/api/films/1/', 'https://swapi.dev/api/films/6/']",2014-12-10T11:35:48.479000Z,2014-12-20T20:58:18.420000Z,https://swapi.dev/api/planets/2/
Yavin IV,24,4818,10200,"temperate, tropical",1 standard,"jungle, rainforests",8,1000,[],['https://swapi.dev/api/films/1/'],2014-12-10T11:37:19.144000Z,2014-12-20T20:58:18.421000Z,https://swapi.dev/api/planets/3/
Naboo,26,312,12120,temperate,1 standard,"grassy hills, swamps, forests, mountains",12,4500000000,"['https://swapi.dev/api/people/3/', 'https://swapi.dev/api/people/21/', 'https://swapi.dev/api/people/35/', 'https://swapi.dev/api/people/36/', 'https://swapi.dev/api/people/37/', 'https://swapi.dev/api/people/38/', 'https://swapi.dev/api/people/39/', 'https://swapi.dev/api/people/42/', 'https://swapi.dev/api/people/60/', 'https://swapi.dev/api/people/61/', 'https://swapi.dev/api/people/66/']","['https://swapi.dev/api/films/3/', 'https://swapi.dev/api/films/4/', 'https://swapi.dev/api/films/5/', 'https://swapi.dev/api/films/6/']",2014-12-10T11:52:31.066000Z,2014-12-20T20:58:18.430000Z,https://swapi.dev/api/planets/8/
Stewjon,unknown,unknown,0,temperate,1 standard,grass,unknown,unknown,['https://swapi.dev/api/people/10/'],[],2014-12-10T16:16:26.566000Z,2014-12-20T20:58:18.452000Z,https://swapi.dev/api/planets/20/
Eriadu,24,360,13490,polluted,1 standard,cityscape,unknown,22000000000,['https://swapi.dev/api/people/12/'],[],2014-12-10T16:26:54.384000Z,2014-12-20T20:58:18.454000Z,https://swapi.dev/api/planets/21/
Kashyyyk,26,381,12765,tropical,1 standard,"jungle, forests, lakes, rivers",60,45000000,"['https://swapi.dev/api/people/13/', 'https://swapi.dev/api/people/80/']",['https://swapi.dev/api/films/6/'],2014-12-10T13:32:00.124000Z,2014-12-20T20:58:18.442000Z,https://swapi.dev/api/planets/14/
Corellia,25,329,11000,temperate,1 standard,"plains, urban, hills, forests",70,3000000000,"['https://swapi.dev/api/people/14/', 'https://swapi.dev/api/people/18/']",[],2014-12-10T16:49:12.453000Z,2014-12-20T20:58:18.456000Z,https://swapi.dev/api/planets/22/
Rodia,29,305,7549,hot,1 standard,"jungles, oceans, urban, swamps",60,1300000000,['https://swapi.dev/api/people/15/'],[],2014-12-10T17:03:28.110000Z,2014-12-20T20:58:18.458000Z,https://swapi.dev/api/planets/23/
Nal Hutta,87,413,12150,temperate,1 standard,"urban, oceans, swamps, bogs",unknown,7000000000,['https://swapi.dev/api/people/16/'],[],2014-12-10T17:11:29.452000Z,2014-12-20T20:58:18.460000Z,https://swapi.dev/api/planets/24/
Bestine IV,26,680,6400,temperate,unknown,"rocky islands, oceans",98,62000000,['https://swapi.dev/api/people/19/'],[],2014-12-12T11:16:55.078000Z,2014-12-20T20:58:18.463000Z,https://swapi.dev/api/planets/26/
